time_s,temperature_C,pwm,heat_cool
42.93,17.71,213,0
43.05,17.66,213,0
43.17,17.63,213,0
43.29,17.58,213,0
43.41,17.54,213,0
43.54,17.5,213,0
43.66,17.44,213,0
43.78,17.4,213,0
43.9,17.36,213,0
44.03,17.31,213,0
44.15,17.27,213,0
44.27,17.22,213,0
44.39,17.17,213,0
44.52,17.12,213,0
44.64,17.08,213,0
44.76,17.03,214,0
44.88,16.99,213,0
45.0,16.94,213,0
45.13,16.89,214,0
45.25,16.84,213,0
45.37,16.78,213,0
45.49,16.74,213,0
45.62,16.7,213,0
45.74,16.65,213,0
45.86,16.61,213,0
45.98,16.56,213,0
46.11,16.51,213,0
46.23,16.46,213,0
46.35,16.42,213,0
46.47,16.37,213,0
46.6,16.33,213,0
46.72,16.27,213,0
46.84,16.23,214,0
46.96,16.18,213,0
47.08,16.13,213,0
47.21,16.08,213,0
47.33,16.03,214,0
47.45,15.99,214,0
47.57,15.94,213,0
47.7,15.89,213,0
47.82,15.84,213,0
47.94,15.8,213,0
48.06,15.74,213,0
48.19,15.7,213,0
48.31,15.65,214,0
48.43,15.61,213,0
48.55,15.56,214,0
48.67,15.51,213,0
48.8,15.47,213,0
48.92,15.42,213,0
49.04,15.37,213,0
49.16,15.33,213,0
49.29,15.28,213,0
49.41,15.24,213,0
49.53,15.19,213,0
49.65,15.14,213,0
49.78,15.1,213,0
49.9,15.06,213,0
50.02,15.0,213,0
50.14,14.95,213,1
50.27,14.91,213,1
50.39,14.86,213,1
50.51,14.82,213,1
50.63,14.8,213,1
50.75,14.78,213,1
50.88,14.79,213,1
51.0,14.82,213,1
51.12,14.86,213,1
51.24,14.92,213,1
51.37,14.99,213,1
51.49,15.09,213,1
51.61,15.19,213,1
51.73,15.3,213,1
51.86,15.43,213,1
51.98,15.57,213,1
52.1,15.71,213,1
52.22,15.87,213,1
52.34,16.04,213,1
52.47,16.21,214,1
52.59,16.4,213,1
52.71,16.58,213,1
52.83,16.77,213,1
52.96,16.97,213,1
53.08,17.18,213,1
53.2,17.39,213,1
53.32,17.61,213,1
53.45,17.83,213,1
53.57,18.05,213,1
53.69,18.29,213,1
53.81,18.52,213,1
53.94,18.76,213,1
54.06,18.99,213,1
54.18,19.24,213,1
54.3,19.49,213,1
54.42,19.73,213,1
54.55,19.99,213,1
54.67,20.24,213,1
54.79,20.5,213,1
54.91,20.76,213,1
55.04,21.02,213,1
55.16,21.28,213,1
55.28,21.54,213,1
55.4,21.81,213,1
55.53,22.08,213,1
55.65,22.34,213,1
55.77,22.6,213,1
55.89,22.87,213,1
56.01,23.14,213,1
56.14,23.41,213,1
56.26,23.67,213,1
56.38,23.93,213,1
56.5,24.21,213,1
56.63,24.47,213,1
56.75,24.74,213,1
56.87,25.02,213,1
56.99,25.29,213,1
57.12,25.56,213,1
57.24,25.83,213,1
57.36,26.11,213,1
57.48,26.37,213,1
57.61,26.64,213,1
57.73,26.91,213,1
57.85,27.18,213,1
57.97,27.44,213,1
58.09,27.71,213,1
58.22,27.97,213,1
58.34,28.24,213,1
58.46,28.5,213,1
58.58,28.76,213,1
58.71,29.02,213,1
58.83,29.29,213,1
58.95,29.55,213,1
59.07,29.81,213,1
59.2,30.07,213,1
59.32,30.32,213,1
59.44,30.58,213,1
59.56,30.83,213,1
59.68,31.1,213,1
59.81,31.34,213,1
59.93,31.59,213,1
60.05,31.84,213,1
60.17,32.09,213,1
